,0,1,2,3
September of My Years,"['Triplicate', {'Jimmy Van Heusen', 'Sammy Cahn'}]","['N/A', {'Jimmy Van Heusen', 'Sammy Cahn'}]",,
She Belongs to Me (Take 1),"['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Shenandoah,"['Down in the Groove', {'Traditional'}]","['N/A', {'Traditional'}]",,
Sign on the Cross,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Silent Weekend,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Silver Bells,"['N/A', {'Jay Livingston', 'Ray Evans'}]","['Christmas in the Heart', {'Jay Livingston', 'Ray Evans'}]",,
Silver Dagger,"['The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall', {'Traditional'}]","['N/A', {'Traditional'}]",,
Sittin' on Top of the World,"['Good as I Been to You', {'Walter Vinson', 'Traditional', 'Lonnie Chatmon'}]","['N/A', {'Walter Vinson', 'Traditional', 'Lonnie Chatmon'}]",,
Skylark,"['N/A', {'Johnny Mercer', 'Hoagy Carmichael'}]","['Fallen Angels', {'Johnny Mercer', 'Hoagy Carmichael'}]",,
Some Enchanted Evening,"['N/A', {'Oscar Hammerstein II', 'Richard Rodgers'}]","['Shadows in the Night', {'Oscar Hammerstein II', 'Richard Rodgers'}]",,
Somebody Touched Me,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Somewhere Along the Way,"['Triplicate', {'Jimmy Van Heusen', 'Sammy Gallop'}]","['N/A', {'Jimmy Van Heusen', 'Sammy Gallop'}]",,
Spanish Is the Loving Tongue,"['Dylan (1973)', {'Billy Simon', 'Charles Badger Clark'}]","['N/A', {'Billy Simon', 'Charles Badger Clark'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Billy Simon', 'Charles Badger Clark'}]",
Stack A Lee,"['N/A', {'Traditional'}]","['World Gone Wrong', {'Traditional'}]",,
Stage Fright,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Stardust,"['Triplicate', {'Mitchell Parish', 'Hoagy Carmichael'}]","['N/A', {'Mitchell Parish', 'Hoagy Carmichael'}]",,
Stay with Me,"['Shadows in the Night', {'Carolyn Leigh', 'Jerome Moross'}]","['N/A', {'Carolyn Leigh', 'Jerome Moross'}]",,
Step It Up and Go,"['N/A', {'Traditional'}]","['Good as I Been to You', {'Traditional'}]",,
Stormy Weather,"['N/A', {'Harold Arlen', 'Ted Koehler'}]","['Triplicate', {'Harold Arlen', 'Ted Koehler'}]",,
Subterranean Homesick Blues (Take 1),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]"
T for Texas,"['N/A', {'Jimmie Rodgers'}]",,,
Take Me As I Am (Or Let Me Go),"['Self Portrait', {'Boudleaux Bryant'}]","['N/A', {'Boudleaux Bryant'}]",,
Take a Message to Mary,"['Self Portrait', {'Boudleaux Bryant', 'Felice Bryant'}]","['N/A', {'Boudleaux Bryant', 'Felice Bryant'}]",,
Talkin' Hava Negeilah Blues,"['N/A', {'Traditional'}]","['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]",,
That Lucky Old Sun,"['Shadows in the Night', {'Beasley Smith', 'Haven Gillespie'}]","['N/A', {'Beasley Smith', 'Haven Gillespie'}]",,
That Old Black Magic,"['Fallen Angels', {'Vick R. Knight', 'Walter Schumann'}]","['N/A', {'Vick R. Knight', 'Walter Schumann'}]",,
That Old Feeling,"['Triplicate', {'Lew Brown', 'Sammy Fain'}]","['N/A', {'Lew Brown', 'Sammy Fain'}]",,
"That's All Right, Mama","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Arthur “Big Boy” Crudup'}]","['N/A', {'Arthur “Big Boy” Crudup'}]",,
That's Alright Mama,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The 1913 massacre,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Ballad of Ira Hayes,"['Dylan (1973)', {'Peter La Farge'}]","['N/A', {'Peter La Farge'}]",,
The Best Is Yet to Come,"['N/A', {'Carolyn Leigh', 'Cy Coleman'}]","['Triplicate', {'Carolyn Leigh', 'Cy Coleman'}]",,
The Boxer,"['Self Portrait', {'Paul Simon', 'Art Garfunkel'}]","['N/A', {'Paul Simon', 'Art Garfunkel'}]",,
The Christmas Blues,"['Christmas in the Heart', {'Sammy Cahn', 'David Jack Holt'}]","['N/A', {'Sammy Cahn', 'David Jack Holt'}]",,
The Christmas Song,"['N/A', {'Robert Wells', 'Mel Tormé'}]","['Christmas in the Heart', {'Robert Wells', 'Mel Tormé'}]",,
The Cuckoo (Is A Pretty Bird) [Gaslight 1962],"['N/A', {'Traditional'}]","['Live at the Gaslight 1962', {'Traditional'}]",,
The Death Of Mett Till,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The First Noel,"['Christmas in the Heart', {'Traditional'}]","['N/A', {'Traditional'}]",,
The Girl on the Greenbriar Shore (live),"['N/A', {'A.P. Carter'}]","['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'A.P. Carter'}]",,
The Hills of Mexico,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Lonesome River,"['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'Ralph Stanley', 'Carter Stanley'}]","['N/A', {'Ralph Stanley', 'Carter Stanley'}]",,
The Love That Faded,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Night They Drove Old Dixie Down,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Night We Called It a Day,"['Shadows in the Night', {'Tom Adair', 'Matt Dennis'}]","['N/A', {'Tom Adair', 'Matt Dennis'}]",,
The Shape I'm In,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Sound of Silence,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Times They Are a-Changin' (French Version),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Usual,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Water Is Wide,"['The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue', {'Traditional'}]","['N/A', {'Traditional'}]",,
The Weight,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
The Weight - Remastered,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
There's a Flaw in My Flue,"['Triplicate', {'Jimmy Van Heusen', 'Johnny Burke'}]","['N/A', {'Jimmy Van Heusen', 'Johnny Burke'}]",,
These Foolish Things,"['N/A', {'Eric Maschwitz', 'Jack Strachey'}]","['Triplicate', {'Eric Maschwitz', 'Jack Strachey'}]",,
These Hands,"['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Eddie Noack'}]","['N/A', {'Eddie Noack'}]",,
They Killed Him,"['Knocked Out Loaded', {'Kris Kristofferson'}]","['N/A', {'Kris Kristofferson'}]",,
Things We Said Today,"['N/A', {'Paul McCartney'}]",,,
Thirsty Boots,"['N/A', {'Eric Andersen'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Eric Andersen'}]",,
This Evening So Soon,"['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]","['N/A', {'Traditional'}]",,
This Land Is Your Land,"['The Bootleg Series Vol. 7: No Direction Home: The Soundtrack', {'Woody Guthrie'}]","['N/A', {'Woody Guthrie'}]",,
This Nearly Was Mine,"['N/A', {'Richard Rogers', 'Oscar Hammerstein II'}]","['Triplicate', {'Richard Rogers', 'Oscar Hammerstein II'}]",,
This Old Man,"['N/A', {'Traditional'}]",,,
Tight Connection To My Heart,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Tomorrow Night,"['Good as I Been to You', {'Sam Coslow', 'Traditional', 'Will Grosz'}]","['N/A', {'Sam Coslow', 'Traditional', 'Will Grosz'}]",,
Tonight I'll Be Staying Here With You - Rolling Thunder Revue Version,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Trade Winds,"['Triplicate', {'Cliff Friend', 'Charles Tobias'}]","['N/A', {'Cliff Friend', 'Charles Tobias'}]",,
Trail of the Buffalo,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Train Of Love,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Trouble in Mind,"['N/A', {'Richard M. Jones'}]",,,
Try Me Little Girl,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Tupelo,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Two Soldiers,"['N/A', {'Traditional'}]","['World Gone Wrong', {'Traditional'}]",,
Two Trains Runnin',"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
U.D. Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Untitled 1 (Baby's Black),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]"
Untitled 10 (Politics),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 11 (High Treachery Sails),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 2 (For Francoise Hardy),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]"
Untitled 3 (Everything Crawls),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 4 (Jack O'Diamonds Is a Hard Card t Play),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]"
Untitled 5 (The Jumping),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 6 (I Used t' Hate Enzo),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]"
Untitled 7 (Charlie),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 8 (An Amazon Chick),"['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Untitled 9 (Johnny),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]","['1964', 'Another Side of Bob Dylan', ['N/A']]"
Up on Cripple Creek,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Wade in the Water,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Went to See the Gypsy (Alternate Version) [New Morning],"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
West Texas,"['N/A', {'Traditional'}]","['Live at the Gaslight 1962', {'Traditional'}]",,
When Did You Leave Heaven?,"['N/A', {'Richard Whiting', 'Walter Bullock'}]","['Down in the Groove', {'Richard Whiting', 'Walter Bullock'}]",,
When You Awake,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
When the World Was Young,"['N/A', {'Angele Vannier', 'Johnny Mercer', 'Philippe-Gerard'}]","['Triplicate', {'Angele Vannier', 'Johnny Mercer', 'Philippe-Gerard'}]",,
Where Are You Tonight?,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Where Are You?,"['Shadows in the Night', {'Jimmy McHugh', 'Harold Adamson'}]","['N/A', {'Jimmy McHugh', 'Harold Adamson'}]",,
Where Is the One?,"['Triplicate', {'Alec Wilder', 'Edwin Finckel'}]","['N/A', {'Alec Wilder', 'Edwin Finckel'}]",,
White Dove,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Why Try to Change Me Now,"['Shadows in the Night', {'Cy Coleman', 'Joseph McCarthy'}]","['N/A', {'Cy Coleman', 'Joseph McCarthy'}]",,
Why Was I Born?,"['N/A', {'Oscar Hammerstein II', 'Jerome Kern'}]","['Triplicate', {'Oscar Hammerstein II', 'Jerome Kern'}]",,
Wild Mountain Thyme,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Wildwood Flower,"['N/A', {'A.P. Carter'}]",,,
Winter Wonderland,"['N/A', {'Richard B. Smith', 'Felix Bernard'}]","['Christmas in the Heart', {'Richard B. Smith', 'Felix Bernard'}]",,
World Gone Wrong,"['N/A', {'Traditional'}]","['World Gone Wrong', {'Traditional'}]",,
Worried Blues,"['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]","['N/A', {'Traditional'}]",,
Ye Playboys and Playgirls,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
You Are My Sunshine,"[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Jimmie Davis', 'Charles Mitchell'}]","['N/A', {'Jimmie Davis', 'Charles Mitchell'}]",,
You Belong to Me,"['N/A', {'Redd Stewart', 'Chilton Price', 'Pee Wee King'}]",,,
You Go to My Head,"['Triplicate', {'Haven Gillespie', 'J. Fred Coots'}]","['N/A', {'Haven Gillespie', 'J. Fred Coots'}]",,
You Wanna Ramble,"['Knocked Out Loaded', {'Junior Parker'}]","['N/A', {'Junior Parker'}]",,
You're Gonna Quit Me,"['N/A', {'Traditional'}]","['Good as I Been to You', {'Traditional'}]",,
Young at Heart,"['Fallen Angels', {'Carolyn Leigh', 'Johnny Richards'}]","['N/A', {'Carolyn Leigh', 'Johnny Richards'}]",,
